date,btc_close,strategy_equity,spot_hodl,lev3x_hodl
2023-01-19,21086.79296875,7339.036792470712,7333.756619055272,7184.693808645741
2023-01-20,22676.552734375,8748.726720128248,7886.657727400114,8836.299141725609
2023-01-21,22777.625,8832.650512787623,7921.809559076402,8934.625008151306
2023-01-22,22720.416015625,8775.633447294163,7901.912898239861,8867.823304033267
2023-01-23,22934.431640625,8960.096181700914,7976.345198530901,9083.94149422771
2023-01-24,22636.46875,8688.700015753,7872.7169547959575,8765.97131776356
2023-01-25,23117.859375,9111.222482165735,8040.1393640583265,9261.002420123015
2023-01-26,23032.77734375,9029.299839196572,8010.548761505957,9165.021118580555
2023-01-27,23078.728515625,9064.055524774063,8026.530077934257,9205.741190795312
2023-01-28,23031.08984375,9015.478226561394,8009.961867410066,9148.82759354207
2023-01-29,23774.56640625,9671.223848737933,8268.534907389509,9917.105032063748
2023-01-30,22840.138671875,8832.974428750207,7943.551132371789,8935.004510991455
2023-01-31,23139.283203125,9093.193323118257,8047.590337828973,9239.87929605896
2023-02-01,23723.76953125,9607.364993517282,8250.868308262243,9842.287425881332
2023-02-02,23471.87109375,9376.767981482146,8163.260778938886,9572.117903210217
2023-02-03,23449.322265625,9350.422513358244,8155.418542437645,9541.2513170183
2023-02-04,23331.84765625,9239.573010198405,8114.562154491331,9411.379047240316
2023-02-05,22955.666015625,8898.434464171849,7983.730282570876,9011.698074224636
2023-02-06,22760.109375,8718.202359485036,7915.717815729227,8800.536527665536
2023-02-07,23264.291015625,9160.982067414998,8091.0666916640075,9319.301195447379
2023-02-08,22939.3984375,8865.522945164555,7978.072596315454,8973.138644065033
2023-02-09,21819.0390625,7861.966341238616,7588.423824484507,7797.362747130157
2023-02-10,21651.18359375,7706.699564369135,7530.045523108179,7615.450802030374
2023-02-11,21870.875,7896.500964484191,7606.451798217115,7837.823820738788
2023-02-12,21788.203125,7817.057171293057,7577.699421723,7744.746761776892
2023-02-13,21808.1015625,7828.951259993393,7584.619881270392,7758.681982525926
2023-02-14,22220.8046875,8190.5442643825145,7728.153527148122,8182.32758198468
2023-02-15,24307.841796875,10042.64486256178,8454.002272273834,10352.265215316771
2023-02-16,23623.474609375,9426.875649262802,8215.986828264386,9630.824495142984
