date,btc,v9a_eq,v9a_lev
2020-05-13,9269.9873046875,12095.84402178138,2.0
2020-05-14,9733.7216796875,12849.697732750728,2.0
2020-05-15,9328.197265625,12181.715552095398,2.0
2020-05-16,9377.013671875,12256.973119330023,2.0
2020-05-17,9670.7392578125,12732.737534428505,2.0
2020-05-18,9726.5751953125,12819.306913549317,2.0
2020-05-19,9729.0380859375,12818.561228718889,2.0
2020-05-20,9522.9814453125,12476.796101507705,2.0
2020-05-21,9081.76171875,11750.540309756841,2.0
2020-05-22,9182.5771484375,11910.95936900267,2.0
2020-05-23,9209.287109375,11950.134950619136,2.0
2020-05-24,8790.3681640625,11260.504386550412,2.0
2020-05-25,8906.9345703125,11446.826008850849,2.0
2020-05-26,8835.052734375,11324.897294788769,2.0
2020-05-27,9181.017578125,11886.361123878463,2.0
2020-05-28,9525.7509765625,12445.641224566436,2.0
2020-05-29,9439.1240234375,12299.294264935994,2.0
2020-05-30,9700.4140625,12720.39535882208,2.0
2020-05-31,9461.05859375,12403.42828372673,2.0
2020-06-01,10167.2685546875,13322.346284661096,2.0
2020-06-02,9529.8037109375,12651.935832669977,2.0
2020-06-03,9656.7177734375,12781.780024955033,2.0
2020-06-04,9800.63671875,12929.382898100677,2.0
2020-06-05,9665.533203125,12784.895416130079,2.0
2020-06-06,9653.6796875,12769.452761444443,2.0
2020-06-07,9758.8525390625,12875.480377256115,2.0
2020-06-08,9771.4892578125,12883.609409378543,2.0
2020-06-09,9795.7001953125,12901.426799831275,2.0
2020-06-10,9870.0947265625,12961.258738675973,2.0
2020-06-11,9321.78125,12499.654881048442,2.0
2020-06-12,9480.84375,12630.501615744191,2.0
2020-06-13,9475.27734375,12623.458336011878,2.0
2020-06-14,9386.7880859375,12546.981996976572,2.0
2020-06-15,9450.7021484375,12598.140990782515,2.0
2020-06-16,9538.0244140625,12668.884503395997,2.0
2020-06-17,9480.2548828125,12618.115193112018,2.0
2020-06-18,9411.8408203125,12558.447328035421,2.0
2020-06-19,9288.0185546875,12452.401257611786,2.0
2020-06-20,9332.3408203125,12487.180113110493,2.0
2020-06-21,9303.6298828125,12460.794352281146,2.0
2020-06-22,9648.7177734375,12747.41178399996,2.0
2020-06-23,9629.658203125,12729.027981869425,2.0
2020-06-24,9313.6103515625,12461.96938359466,2.0
2020-06-25,9264.8134765625,12418.76960975647,2.0
2020-06-26,9162.91796875,12331.120592306313,2.0
2020-06-27,9045.390625,12230.408047964807,2.0
2020-06-28,9143.58203125,12310.354550868056,2.0
2020-06-29,9190.8544921875,12347.640010674522,2.0
2020-06-30,9137.9931640625,12301.06776132125,2.0
2020-07-01,9228.3251953125,12374.410041695894,2.0
2020-07-02,9123.41015625,12284.241824525037,2.0
2020-07-03,9087.3037109375,12251.716023105651,2.0
2020-07-04,9132.48828125,12287.267354104075,2.0
2020-07-05,9073.9423828125,12235.949863860615,2.0
2020-07-06,9375.474609375,12486.154196334395,2.0
2020-07-07,9252.27734375,12380.640600170793,2.0
2020-07-08,9428.3330078125,12525.733822277538,2.0
2020-07-09,9277.9677734375,12397.458170316766,2.0
2020-07-10,9278.8076171875,12395.830065429409,2.0
2020-07-11,9240.3466796875,12361.293710360225,2.0
2020-07-12,9276.5,12389.244376036768,2.0
2020-07-13,9243.6142578125,12358.439719997346,2.0
2020-07-14,9243.2138671875,12355.138263243756,2.0
2020-07-15,9192.8369140625,12299.858513562167,2.0
2020-07-16,9132.2275390625,12233.952196472032,2.0
2020-07-17,9151.392578125,12251.034644942582,2.0
2020-07-18,9159.0400390625,12256.13218690593,2.0
2020-07-19,9185.8173828125,12281.123489198046,2.0
2020-07-20,9164.2314453125,12254.400112859355,2.0
2020-07-21,9374.8876953125,12534.401186809993,2.0
2020-07-22,9525.36328125,12733.267813211794,2.0
2020-07-23,9581.072265625,12804.445127412695,2.0
2020-07-24,9536.892578125,12741.073196041547,2.0
2020-07-25,9677.11328125,12926.063413929194,2.0
2020-07-26,9905.1669921875,13227.953130851885,2.0
2020-07-27,10990.873046875,14394.504736283261,2.0
2020-07-28,10912.8232421875,14306.85925794174,2.0
2020-07-29,11100.4677734375,14505.501628610717,2.0
2020-07-30,11111.2138671875,14513.49059882363,2.0
2020-07-31,11323.466796875,14738.582241648244,2.0
2020-08-01,11759.5927734375,15204.809059048295,2.0
2020-08-02,11053.6142578125,14440.37628673149,2.0
2020-08-03,11246.3486328125,14644.45700211094,2.0
2020-08-04,11205.892578125,14597.232929764537,2.0
2020-08-05,11747.0224609375,15176.630367549238,2.0
2020-08-06,11779.7734375,15208.118646683186,2.0
2020-08-07,11601.47265625,15012.206363820756,2.0
2020-08-08,11754.0458984375,15172.839806053104,2.0
2020-08-09,11675.7392578125,15084.670859452772,2.0
2020-08-10,11878.111328125,15298.934209967023,2.0
2020-08-11,11410.525390625,14791.31045473692,2.0
2020-08-12,11584.9345703125,14975.531963921958,2.0
2020-08-13,11784.1376953125,15186.410409639968,2.0
2020-08-14,11768.87109375,15166.151910864668,2.0
2020-08-15,11865.6982421875,15266.669646294487,2.0
2020-08-16,11892.8037109375,15292.037009799828,2.0
2020-08-17,12254.40234375,15677.782996527318,2.0
2020-08-18,11991.2333984375,15390.279166640441,2.0
2020-08-19,11758.283203125,15135.418508252009,2.0
2020-08-20,11878.3720703125,15261.002152358553,2.0
2020-08-21,11592.4892578125,14949.147678127429,2.0
2020-08-22,11681.8251953125,15041.651311136546,2.0
2020-08-23,11664.84765625,15019.582505305265,2.0
2020-08-24,11774.595703125,15134.055021646593,2.0
2020-08-25,11366.134765625,14690.16679713111,2.0
2020-08-26,11488.36328125,14818.18251676319,2.0
2020-08-27,11323.3974609375,14636.731717320119,2.0
2020-08-28,11542.5,14869.13461704268,2.0
2020-08-29,11506.865234375,14827.009313749479,2.0
2020-08-30,11711.505859375,15043.771435794304,2.0
2020-08-31,11680.8203125,15006.923843513698,2.0
2020-09-01,11970.478515625,15315.228792467147,2.0
2020-09-02,11414.0341796875,14711.83795182491,2.0
2020-09-03,10245.296875,13447.83025413044,2.0
2020-09-04,10511.8134765625,13674.899065553174,2.0
2020-09-05,10169.5673828125,13376.310907085377,2.0
2020-09-06,10280.3515625,13450.597188763066,2.0
2020-09-07,10369.5634765625,13509.985508868334,2.0
2020-09-08,10131.5166015625,13343.695864710862,2.0
2020-09-09,10242.34765625,13418.022342462235,2.0
2020-09-10,10363.138671875,13499.1937229161,2.0
2020-09-11,10400.9150390625,13523.097812871805,2.0
2020-09-12,10442.1708984375,13548.67310045533,2.0
2020-09-13,10323.755859375,13481.622547015155,2.0
2020-09-14,10680.837890625,13676.892714665779,2.0
2020-09-15,10796.951171875,13739.176826326635,2.0
2020-09-16,10974.9052734375,13835.555315475382,2.0
2020-09-17,10948.990234375,13819.442867353047,2.0
2020-09-18,10944.5859375,13815.200800702449,2.0
2020-09-19,11094.3466796875,13896.002389214362,2.0
2020-09-20,10938.271484375,13808.069190930342,2.0
2020-09-21,10462.259765625,13543.096139945335,2.0
2020-09-22,10538.4599609375,13575.338392319361,2.0
2020-09-23,10246.1865234375,13444.50770160191,2.0
2020-09-24,10760.06640625,13624.845805743113,2.0
2020-09-25,10692.716796875,13599.928258042628,2.0
2020-09-26,10750.7236328125,13619.27453679475,2.0
2020-09-27,10775.26953125,13626.801393278229,2.0
2020-09-28,10709.65234375,13602.493860857865,2.0
2020-09-29,10844.640625,13649.016397774312,2.0
2020-09-30,10784.4912109375,13626.631895655271,2.0
2020-10-01,10619.4521484375,13567.222812079228,2.0
2020-10-02,10575.974609375,13550.74811974621,2.0
2020-10-03,10549.3291015625,13540.220528335114,2.0
2020-10-04,10669.5830078125,13581.558126983487,2.0
2020-10-05,10793.33984375,13624.119683326435,2.0
2020-10-06,10604.40625,13556.273774638385,2.0
2020-10-07,10668.96875,13577.943865699488,2.0
2020-10-08,10915.685546875,13663.91610703948,2.0
2020-10-09,11064.4580078125,13715.2832760365,2.0
2020-10-10,11296.361328125,13795.983766543377,2.0
2020-10-11,11384.181640625,13825.791643978491,2.0
2020-10-12,11555.36328125,13885.020666802071,2.0
2020-10-13,11425.8994140625,13838.08962117883,2.0
2020-10-14,11429.5068359375,13838.152683601384,2.0
2020-10-15,11495.349609375,13860.1873551346,2.0
2020-10-16,11322.123046875,13797.81238846086,2.0
2020-10-17,11358.1015625,13809.314956401473,2.0
2020-10-18,11483.359375,13852.333482042632,2.0
2020-10-19,11742.037109375,13942.442212728425,2.0
2020-10-20,11916.3349609375,14002.733490539176,2.0
2020-10-21,12823.689453125,14321.809598534837,2.0
2020-10-22,12965.8916015625,14370.654994730698,2.0
2020-10-23,12931.5390625,14357.153258930915,2.0
2020-10-24,13108.0625,14418.10424995832,2.0
2020-10-25,13031.173828125,14389.57020645506,2.0
2020-10-26,13075.248046875,14403.749869634406,2.0
2020-10-27,13654.21875,14606.768351915347,2.0
2020-10-28,13271.28515625,14470.128267151424,2.0
2020-10-29,13437.8828125,14527.538998257967,2.0
2020-10-30,13546.5224609375,14564.470190231961,2.0
2020-10-31,13780.9951171875,14645.814812194478,2.0
2020-11-01,13737.109375,14628.86105278932,2.0
2020-11-02,13550.4892578125,14561.520029501111,2.0
2020-11-03,13950.30078125,14701.236588074164,2.0
2020-11-04,14133.70703125,14764.509600436437,2.0
2020-11-05,15579.8486328125,15273.567848387262,2.0
2020-11-06,15565.880859375,15266.985950898812,2.0
2020-11-07,14833.75390625,15006.861737736559,2.0
2020-11-08,15479.5673828125,15233.292540489672,2.0
2020-11-09,15332.3154296875,15179.665715138166,2.0
2020-11-10,15290.90234375,15163.420563187814,2.0
2020-11-11,15701.33984375,15306.704199217857,2.0
2020-11-12,16276.34375,15508.04399312881,2.0
2020-11-13,16317.80859375,15520.958612637674,2.0
2020-11-14,16068.138671875,15431.084643683998,2.0
2020-11-15,15955.587890625,15389.64659911945,2.0
2020-11-16,16716.111328125,15656.456532123108,2.0
2020-11-17,17645.40625,15982.770122213144,2.0
2020-11-18,17804.005859375,16036.89374866372,2.0
2020-11-19,17817.08984375,16039.626747360287,2.0
2020-11-20,18621.314453125,16321.668020605784,2.0
2020-11-21,18642.232421875,16327.080191934485,2.0
2020-11-22,18370.001953125,16228.99503125788,2.0
2020-11-23,18364.12109375,16224.972587760933,2.0
2020-11-24,19107.46484375,16485.462113152604,2.0
2020-11-25,18732.12109375,16350.923849748007,2.0
2020-11-26,17150.623046875,15790.596445652609,2.0
2020-11-27,17108.40234375,15773.873524949258,2.0
2020-11-28,17717.4140625,15987.070595619249,2.0
2020-11-29,18177.484375,16147.619858169157,2.0
2020-11-30,19625.8359375,16657.029904428728,2.0
2020-12-01,18802.998046875,16364.450350383624,2.0
2020-12-02,19201.091796875,16503.003973192965,2.0
2020-12-03,19445.3984375,16587.221373809953,2.0
