date,pw5_btc,pw5_strategy,pw5_lev
2019-06-09,7688.0771484375,4109.461592026866,1.5
2019-06-10,8000.32958984375,4109.461592026866,1.5
2019-06-11,7927.71435546875,4109.461592026866,1.5
2019-06-12,8145.857421875,4109.461592026866,1.5
2019-06-13,8230.923828125,4109.461592026866,1.5
2019-06-14,8693.8330078125,4109.461592026866,1.5
2019-06-15,8838.375,4109.461592026866,1.5
2019-06-16,8994.48828125,4109.461592026866,1.5
2019-06-17,9320.3525390625,4109.461592026866,1.5
2019-06-18,9081.7626953125,4109.461592026866,1.5
2019-06-19,9273.521484375,4109.461592026866,1.5
2019-06-20,9527.16015625,4109.461592026866,1.5
2019-06-21,10144.556640625,4109.461592026866,1.5
2019-06-22,10701.69140625,4109.461592026866,1.5
2019-06-23,10855.37109375,4109.461592026866,1.5
2019-06-24,11011.1025390625,4109.461592026866,1.5
2019-06-25,11790.9169921875,4109.461592026866,1.5
2019-06-26,13016.2314453125,4109.461592026866,1.5
2019-06-27,11182.806640625,4109.461592026866,1.5
2019-06-28,12407.33203125,4109.461592026866,1.5
2019-06-29,11959.37109375,4109.461592026866,1.5
2019-06-30,10817.1552734375,4109.461592026866,1.5
2019-07-01,10583.134765625,4109.461592026866,1.5
2019-07-02,10801.677734375,4109.461592026866,1.5
2019-07-03,11961.26953125,4109.461592026866,1.5
2019-07-04,11215.4375,4109.461592026866,1.5
2019-07-05,10978.4599609375,4109.461592026866,1.5
2019-07-06,11208.55078125,4109.461592026866,1.5
2019-07-07,11450.8466796875,4109.461592026866,1.5
2019-07-08,12285.9580078125,4109.461592026866,1.5
2019-07-09,12573.8125,4109.461592026866,1.5
2019-07-10,12156.5126953125,4109.461592026866,1.5
2019-07-11,11358.662109375,4109.461592026866,1.5
2019-07-12,11815.986328125,4109.461592026866,1.5
2019-07-13,11392.37890625,4109.461592026866,1.5
2019-07-14,10256.05859375,4109.461592026866,1.5
2019-07-15,10895.08984375,4109.461592026866,1.5
2019-07-16,9477.6416015625,4109.461592026866,1.5
2019-07-17,9693.802734375,4109.461592026866,1.5
2019-07-18,10666.482421875,4109.461592026866,1.5
2019-07-19,10530.732421875,4109.461592026866,1.5
2019-07-20,10767.1396484375,4109.461592026866,1.5
2019-07-21,10599.10546875,4109.461592026866,1.5
2019-07-22,10343.1064453125,4109.461592026866,1.5
2019-07-23,9900.767578125,4109.461592026866,1.5
2019-07-24,9811.92578125,4109.461592026866,1.5
2019-07-25,9911.841796875,4109.461592026866,1.5
2019-07-26,9870.3037109375,4109.461592026866,1.5
2019-07-27,9477.677734375,4109.461592026866,1.5
2019-07-28,9552.8603515625,4109.461592026866,1.5
2019-07-29,9519.1455078125,4109.461592026866,1.5
2019-07-30,9607.423828125,4109.461592026866,1.5
2019-07-31,10085.6279296875,4109.461592026866,1.5
2019-08-01,10399.6689453125,4109.461592026866,1.5
2019-08-02,10518.1748046875,4109.461592026866,1.5
2019-08-03,10821.7265625,4109.461592026866,1.5
2019-08-04,10970.1845703125,4109.461592026866,1.5
2019-08-05,11805.6533203125,4109.461592026866,1.5
2019-08-06,11478.1689453125,4109.461592026866,1.5
2019-08-07,11941.96875,4109.461592026866,1.5
2019-08-08,11966.4072265625,4109.461592026866,1.5
2019-08-09,11862.9365234375,4109.461592026866,1.5
2019-08-10,11354.0244140625,4109.461592026866,1.5
2019-08-11,11523.5791015625,4109.461592026866,1.5
2019-08-12,11382.6162109375,4109.461592026866,1.5
2019-08-13,10895.830078125,4109.461592026866,1.5
2019-08-14,10051.7041015625,4109.461592026866,1.5
2019-08-15,10311.5458984375,4109.461592026866,1.5
2019-08-16,10374.3388671875,4109.461592026866,1.5
2019-08-17,10231.744140625,4109.461592026866,1.5
2019-08-18,10345.810546875,4109.461592026866,1.5
2019-08-19,10916.0537109375,4109.461592026866,1.5
2019-08-20,10763.232421875,4109.461592026866,1.5
2019-08-21,10138.0498046875,4109.461592026866,1.5
2019-08-22,10131.0556640625,4109.461592026866,1.5
2019-08-23,10407.96484375,4109.461592026866,1.5
2019-08-24,10159.9609375,4109.461592026866,1.5
2019-08-25,10138.517578125,4109.461592026866,1.5
2019-08-26,10370.8203125,4109.461592026866,1.5
2019-08-27,10185.5,4109.461592026866,1.5
2019-08-28,9754.4228515625,4109.461592026866,1.5
2019-08-29,9510.2001953125,4109.461592026866,1.5
2019-08-30,9598.173828125,4109.461592026866,1.5
2019-08-31,9630.6640625,4109.461592026866,1.5
2019-09-01,9757.970703125,4109.461592026866,1.5
