buy_rsi,sell_rsi,1.b,d%,N,cb,ct,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w
40,60,1.5,33,7,7,7,0.0,1.3782963589509638,0.9960866124347836,1.1853333753071775,1.927011863655233,0.0,0.0
40,60,1.5,33,7,7,3,0.0,1.2857313832053432,1.0458312689305977,1.1573243966965983,1.709296409347029,0.0,0.0
40,60,1.5,33,5,7,3,0.0,1.796664967620653,1.1101793590803062,1.3973812917893673,3.4697243934468873,0.0,0.0
40,60,1.5,20,7,7,3,0.0,1.3785949468043002,0.9995033928717663,1.1830227147434336,1.9137045472016803,0.0,0.0
40,60,1.5,20,7,7,7,0.0,1.5864982809446582,0.9504532006592026,1.2248469213818787,2.509661302342929,0.0,0.0
40,60,1.0,50,5,3,3,0.0,2.7313090028437212,1.0822506279209703,1.4907250845791513,6.712382177310211,0.0,0.0
40,60,1.5,33,7,3,7,0.0,2.2401712949493273,0.997799566281968,1.4241915257754463,7.2504404909302735,0.0,0.0
40,60,1.5,33,7,3,3,0.0,1.9305804984114903,1.1609439224418547,1.3564656372243673,5.352939290046902,0.0,0.0
40,60,1.0,50,5,3,7,0.0,3.337188214360988,0.9629120923344375,1.5288323962123263,7.918752159213742,0.0,0.0
40,60,1.5,33,5,7,7,0.0,2.095009506136522,0.9864286416709729,1.4690950370666855,4.481013814805595,0.0,0.0
40,60,1.0,50,5,7,3,0.0,2.0680165548418485,1.1829655770640624,1.5313362446786687,4.659950226848847,0.0,0.0
40,60,1.5,20,7,3,7,0.0,2.8045888315186835,0.8725817138467922,1.5130494071494847,11.69251701282563,0.0,0.0
40,60,1.0,20,7,7,7,0.0,3.1794656855046,0.815656457618787,1.5913637326489685,8.123523834941185,0.0,0.0
40,60,1.0,20,7,7,3,0.0,2.316160617328534,0.9377071206952892,1.4677234289035317,4.732928868040074,0.0,0.0
40,60,1.0,20,7,3,7,0.0,4.82602434545895,0.7444891255126074,1.7799029405715276,13.022298102897155,0.0,0.0
40,60,1.0,20,7,3,3,0.0,3.6104699754198224,0.8696474132913642,1.6116913693621417,9.432592904545611,0.0,0.0
40,60,1.0,20,5,7,7,0.0,4.1058623829398435,0.7521328145884238,1.863648948083806,11.504079703594968,0.0,0.0
40,60,1.0,20,5,7,3,0.0,3.0763336127454304,0.8787599013725457,1.6805629803791193,7.451798573248339,0.0,0.0
40,60,1.0,20,5,3,7,0.0,6.210116948380963,0.7143575913762047,1.8339347046933225,13.648170635527674,0.0,0.0
