date,w5_btc,w5_strategy,w5_lev
2024-01-26,41816.87109375,17059.389012320873,2.0
2024-01-27,42120.0546875,17132.95097010448,2.0
2024-01-28,42035.59375,17108.37400355093,2.0
2024-01-29,43288.24609375,17422.23739633042,2.0
2024-01-30,42952.609375,17333.997123322588,2.0
2024-01-31,42582.60546875,17237.083736756085,2.0
2024-02-01,43075.7734375,17358.674080589815,2.0
2024-02-02,43185.859375,17383.265874618894,2.0
2024-02-03,42992.25,17330.981622129177,2.0
2024-02-04,42583.58203125,17224.279044715775,2.0
2024-02-05,42658.66796875,17240.0494464749,2.0
2024-02-06,43084.671875,17344.634257681864,2.0
2024-02-07,44318.22265625,17652.461145182628,2.0
2024-02-08,45301.56640625,17848.88184984463,2.0
2024-02-09,47147.19921875,18219.84454637871,2.0
2024-02-10,47771.27734375,18342.379381098406,2.0
2024-02-11,48293.91796875,18424.71922095537,2.0
2024-02-12,49958.22265625,18691.970743466816,2.0
2024-02-13,49742.44140625,18654.58800727892,2.0
2024-02-14,51826.6953125,18989.796294585434,2.0
2024-02-15,51938.5546875,19005.3969265365,2.0
2024-02-16,52160.203125,19038.776747945747,2.0
2024-02-17,51662.99609375,18955.699072715015,2.0
2024-02-18,52122.546875,19027.6298665419,2.0
2024-02-19,51779.14453125,18969.468698659723,2.0
2024-02-20,52284.875,19048.87445055238,2.0
2024-02-21,51839.1796875,18974.135049784796,2.0
2024-02-22,51304.97265625,18885.079384682544,2.0
2024-02-23,50731.94921875,18789.761854898792,2.0
2024-02-24,51571.1015625,18923.22920860128,2.0
2024-02-25,51733.23828125,18946.986644975896,2.0
2024-02-26,54522.40234375,19396.285891005846,2.0
2024-02-27,57085.37109375,19808.80838597823,2.0
