date,btc,v4_mechanical,v7b_balanced
2019-08-08,11966.4072265625,0.0,1250.5697775271192
2019-08-09,11862.9365234375,0.0,1250.5697775271192
2019-08-10,11354.0244140625,0.0,1250.5697775271192
2019-08-11,11523.5791015625,0.0,1250.5697775271192
2019-08-12,11382.6162109375,0.0,1250.5697775271192
2019-08-13,10895.830078125,0.0,1250.5697775271192
2019-08-14,10051.7041015625,0.0,1250.5697775271192
2019-08-15,10311.5458984375,0.0,1250.5697775271192
2019-08-16,10374.3388671875,0.0,1250.5697775271192
2019-08-17,10231.744140625,0.0,1250.5697775271192
2019-08-18,10345.810546875,0.0,1250.5697775271192
2019-08-19,10916.0537109375,0.0,1250.5697775271192
2019-08-20,10763.232421875,0.0,1250.5697775271192
2019-08-21,10138.0498046875,0.0,1250.5697775271192
2019-08-22,10131.0556640625,0.0,1250.5697775271192
2019-08-23,10407.96484375,0.0,1250.5697775271192
2019-08-24,10159.9609375,0.0,1250.5697775271192
2019-08-25,10138.517578125,0.0,1250.5697775271192
2019-08-26,10370.8203125,0.0,1250.5697775271192
2019-08-27,10185.5,0.0,1250.5697775271192
2019-08-28,9754.4228515625,0.0,1250.5697775271192
2019-08-29,9510.2001953125,0.0,1250.5697775271192
2019-08-30,9598.173828125,0.0,1250.5697775271192
2019-08-31,9630.6640625,0.0,1250.5697775271192
2019-09-01,9757.970703125,0.0,1250.5697775271192
2019-09-02,10346.7607421875,0.0,1250.5697775271192
2019-09-03,10623.5400390625,0.0,1250.5697775271192
2019-09-04,10594.4931640625,0.0,1250.5697775271192
2019-09-05,10575.533203125,0.0,1250.5697775271192
2019-09-06,10353.302734375,0.0,1250.5697775271192
2019-09-07,10517.2548828125,0.0,1250.5697775271192
2019-09-08,10441.2763671875,0.0,1250.5697775271192
2019-09-09,10334.974609375,0.0,1250.5697775271192
2019-09-10,10115.9755859375,0.0,1250.5697775271192
2019-09-11,10178.3720703125,0.0,1250.5697775271192
2019-09-12,10410.126953125,0.0,1250.5697775271192
2019-09-13,10360.546875,0.0,1250.5697775271192
2019-09-14,10358.048828125,0.0,1250.5697775271192
2019-09-15,10347.712890625,0.0,1250.5697775271192
2019-09-16,10276.7939453125,0.0,1250.5697775271192
2019-09-17,10241.2724609375,0.0,1250.5697775271192
2019-09-18,10198.248046875,0.0,1250.5697775271192
2019-09-19,10266.4150390625,0.0,1250.5697775271192
2019-09-20,10181.6416015625,0.0,1250.5697775271192
2019-09-21,10019.716796875,0.0,1250.5697775271192
2019-09-22,10070.392578125,0.0,1250.5697775271192
2019-09-23,9729.32421875,0.0,1250.5697775271192
2019-09-24,8620.56640625,0.0,1250.5697775271192
2019-09-25,8486.9931640625,0.0,1250.5697775271192
2019-09-26,8118.9677734375,0.0,1250.5697775271192
2019-09-27,8251.845703125,0.0,1250.5697775271192
2019-09-28,8245.9150390625,0.0,1250.5697775271192
2019-09-29,8104.185546875,0.0,1250.5697775271192
2019-09-30,8293.8681640625,0.0,1250.5697775271192
