tol%,d%,buy_rsi,trim_rsi,ab200,deep_OS,stop_dd,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w,any_liq,max_dd_any%,stops_total
1.0,50,50,50,1.0,0.8,0.3,1.0,1.0866624761818133,1.0,1.0450486563464387,1.1350902897782438,1.0323044404224373,1.0,False,5.080397022351779,0
1.0,50,55,0,0.95,0.7,0.2,0.9791225571810301,1.155689509799893,0.9930792486146508,1.0441798156126434,1.2393815153818328,1.0407810039920424,0.9791225571810301,False,5.952528210041963,1
1.0,50,55,0,0.95,0.7,0.25,0.9688404679408329,1.155689509799893,0.9930792486146508,1.0441798156126434,1.2393815153818328,1.038037781188014,0.9688404679408329,False,5.952528210041963,1
1.0,50,55,0,0.95,0.7,0.3,0.9650819676656639,1.155689509799893,0.9930792486146508,1.0441798156126434,1.2393815153818328,1.0370295775624712,0.9650819676656639,False,5.952528210041963,1
1.0,50,55,0,0.95,0.8,0.2,0.9791225571810301,1.155689509799893,0.9930792486146508,1.0441798156126434,1.2393815153818328,1.0407810039920424,0.9791225571810301,False,5.952528210041963,1
1.0,50,55,0,0.95,0.8,0.25,0.9688404679408329,1.155689509799893,0.9930792486146508,1.0441798156126434,1.2393815153818328,1.038037781188014,0.9688404679408329,False,5.952528210041963,1
1.0,50,55,0,0.95,0.8,0.3,0.9650819676656639,1.155689509799893,0.9930792486146508,1.0441798156126434,1.2393815153818328,1.0370295775624712,0.9650819676656639,False,5.952528210041963,1
1.0,50,55,0,1.0,0.7,0.2,1.0,1.1040767021393512,1.0,1.0441798156126434,1.1523738167071804,1.0362001119689292,1.0,False,5.043307036625022,0
1.0,50,55,0,1.0,0.7,0.25,1.0,1.1040767021393512,1.0,1.0441798156126434,1.1523738167071804,1.0362001119689292,1.0,False,5.043307036625022,0
1.0,50,55,0,1.0,0.7,0.3,1.0,1.1040767021393512,1.0,1.0441798156126434,1.1523738167071804,1.0362001119689292,1.0,False,5.043307036625022,0
1.0,50,55,0,1.0,0.8,0.2,1.0,1.1040767021393512,1.0,1.0441798156126434,1.1523738167071804,1.0362001119689292,1.0,False,5.043307036625022,0
1.0,50,55,0,1.0,0.8,0.25,1.0,1.1040767021393512,1.0,1.0441798156126434,1.1523738167071804,1.0362001119689292,1.0,False,5.043307036625022,0
1.0,50,55,0,1.0,0.8,0.3,1.0,1.1040767021393512,1.0,1.0441798156126434,1.1523738167071804,1.0362001119689292,1.0,False,5.043307036625022,0
1.0,50,55,50,0.95,0.7,0.2,0.9791225571810301,1.194526663705436,0.9930792486146508,1.0450486563464387,1.2816935164979288,1.0496350648730945,0.9791225571810301,False,6.106547338647294,1
1.0,50,55,50,0.95,0.7,0.25,0.9688404679408329,1.194526663705436,0.9930792486146508,1.0450486563464387,1.2816935164979288,1.0468685051118927,0.9688404679408329,False,6.106547338647294,1
1.0,50,55,50,0.95,0.7,0.3,0.9650819676656639,1.194526663705436,0.9930792486146508,1.0450486563464387,1.2816935164979288,1.0458517245655117,0.9650819676656639,False,6.106547338647294,1
1.0,50,55,50,0.95,0.8,0.2,0.9791225571810301,1.194526663705436,0.9930792486146508,1.0450486563464387,1.2816935164979288,1.0496350648730945,0.9791225571810301,False,6.106547338647294,1
1.0,50,55,50,0.95,0.8,0.25,0.9688404679408329,1.194526663705436,0.9930792486146508,1.0450486563464387,1.2816935164979288,1.0468685051118927,0.9688404679408329,False,6.106547338647294,1
1.0,50,55,50,0.95,0.8,0.3,0.9650819676656639,1.194526663705436,0.9930792486146508,1.0450486563464387,1.2816935164979288,1.0458517245655117,0.9650819676656639,False,6.106547338647294,1
1.0,50,55,50,1.0,0.7,0.2,1.0,1.1433766223004804,1.0,1.0450486563464387,1.1939932393499035,1.0455178572263941,1.0,False,5.218789515234034,0
1.0,50,55,50,1.0,0.7,0.25,1.0,1.1433766223004804,1.0,1.0450486563464387,1.1939932393499035,1.0455178572263941,1.0,False,5.218789515234034,0
1.0,50,55,50,1.0,0.7,0.3,1.0,1.1433766223004804,1.0,1.0450486563464387,1.1939932393499035,1.0455178572263941,1.0,False,5.218789515234034,0
1.0,50,55,50,1.0,0.8,0.2,1.0,1.1433766223004804,1.0,1.0450486563464387,1.1939932393499035,1.0455178572263941,1.0,False,5.218789515234034,0
1.0,50,55,50,1.0,0.8,0.25,1.0,1.1433766223004804,1.0,1.0450486563464387,1.1939932393499035,1.0455178572263941,1.0,False,5.218789515234034,0
1.0,50,55,50,1.0,0.8,0.3,1.0,1.1433766223004804,1.0,1.0450486563464387,1.1939932393499035,1.0455178572263941,1.0,False,5.218789515234034,0
1.0,50,100,0,0.95,0.7,0.2,0.9583274445649336,1.155689509799893,0.9930792486146508,1.0441798156126434,1.2393815153818328,1.035210276141785,0.9583274445649336,False,7.86944625045185,1
1.0,50,100,0,0.95,0.7,0.25,0.9389098611377453,1.155689509799893,0.9930792486146508,1.0441798156126434,1.2393815153818328,1.0299261097060406,0.9389098611377453,False,9.736190987619509,1
1.0,50,100,0,0.95,0.7,0.3,0.9318119853121896,1.155689509799893,0.9930792486146508,1.0441798156126434,1.2393815153818328,1.0279740843717198,0.9318119853121896,False,10.418558203504524,1
1.0,50,100,0,0.95,0.8,0.2,0.9583274445649336,1.155689509799893,0.9930792486146508,1.0441798156126434,1.2393815153818328,1.035210276141785,0.9583274445649336,False,7.86944625045185,1
1.0,50,100,0,0.95,0.8,0.25,0.9389098611377453,1.155689509799893,0.9930792486146508,1.0441798156126434,1.2393815153818328,1.0299261097060406,0.9389098611377453,False,9.736190987619509,1
1.0,50,100,0,0.95,0.8,0.3,0.9318119853121896,1.155689509799893,0.9930792486146508,1.0441798156126434,1.2393815153818328,1.0279740843717198,0.9318119853121896,False,10.418558203504524,1
1.0,50,100,0,1.0,0.7,0.2,1.0,1.1040767021393512,1.0,1.0441798156126434,1.1523738167071804,1.0362001119689292,1.0,False,5.043307036625022,0
